337413	Vi trodde att det var ett flygande tefat.	248176	We believed it to be a flying saucer.
341910	Detta är huset jag bodde i när jag var barn.	56221	This is the house where I lived when I was a child.
341938	Vi hade roligt på stranden igår.	247939	We had a good time at the beach yesterday.
341939	Jag spelade tennis hela dagen.	3626608	I played tennis the whole day.
341940	De skymtade mannen genom folkmassan.	306934	They caught sight of the man among the crowd of people.
341941	Han vande sig kvickt vid det kalla vädret.	294894	He soon accustomed himself to cold weather.
341943	Jag kan inte komma på någon bra ursäkt till varför jag är sen till tandläkaren.	263611	I can't come up with a good excuse for being late for the dentist.
341944	Kan du simma lika snabbt som honom?	15842	Can you swim as fast as he?
353815	Han är inte läkare.	293617	He is not a doctor.
353816	Hon skulle gärna kommit men hon var på semester.	2400	She would willingly come but she was on vacation.
353817	Åh nej! Mitt hus brinner!	36130	Oh, no! My house is on fire!
353818	Jag trodde aldrig att ett såhär fint hotell skulle finnas på en sådan här plats.	54764	I never expected this fine hotel to be found in such a place.
353819	Detta är deras hus.	55437	This is their house.
353820	Men hon tyckte om barn och gillade sitt jobb.	53621	But she liked children and she enjoyed her work.
353821	Hon tycker mycket om att skriva dikter.	1442164	She really likes writing poems.
353823	Hon bad mig att se efter hennes bebis medans hon var borta.	317413	She asked me to look after her baby in her absence.
353825	Stick härifrån, ungjävlar!	246030	Beat it, kids!
372416	Solen skiner.	372414	The sun is shining.
372419	Den här boken verkar intressant.	372418	This book seems interesting.
372423	Vems bok är det?	372422	Whose book is it?
372425	Den här boken tillhör skolbiblioteket.	372424	This book belongs to the school library.
372426	Den här boken handlar om Kina.	495591	This book is about China.
372427	Lägg inte plånboken på elementet.	244285	Don't put the wallet on the top of the heater.
372430	Du bör inte lämna barnet ensamt.	3626626	You shouldn't leave the child alone.
372441	Studenterna lyssnar på en föreläsning i historia.	372440	The students are listening to a history lecture.
372449	Skolan ser ut som ett fängelse.	48941	The school looks like a prison.
372451	Alla dessa böcker är mina.	1360853	All of these books are mine.
372453	Behöver du den här boken?	372452	Do you need this book?
372473	Jag pratar inte tyska.	482351	I don't speak German.
372474	Jag förstår inte tyska.	1784	I don't understand German.
372475	Jag kan inte prata tyska.	38954	I cannot speak German.
372476	Tyskan är inte ett lätt språk.	38955	German is not an easy language.
372477	Nederländskan är nära besläktad med tyskan.	64824	Dutch is closely related to German.
372478	Pratar du japanska?	69058	Do you speak Japanese?
372479	Många utlänningar pratar bra japanska.	274806	Many foreigners speak good Japanese.
372480	Det här är en japansk docka.	281422	This is a Japanese doll.
372485	Min hund är vit.	250774	My dog is white.
372620	Det är kallt.	1813	It's cold.
372621	Det regnar.	1862	It is raining.
372622	Det är inte viktigt.	2322	It's not important.
372623	Glöm inte biljetten.	2424	Don't forget the ticket.
372624	Minns du det?	21678	Do you remember?
372625	Vad är det som saknas?	25227	What is missing?
372626	Jag minns den första gången.	244014	I remember the first time.
372627	Jag brukar diska.	244971	I usually do the dishes.
372628	Det är varmt idag.	750677	It's warm today.
372628	Det är varmt idag.	1578719	It is hot today.
372629	Kommer du ihåg mig?	250327	Do you remember me?
372630	Nu är jag på flygplatsen.	257501	I'm at the airport now.
372631	Ingenting saknas.	264932	Nothing is missing.
372632	Föräldrar älskar sina barn.	269726	Parents love their children.
372633	Jag är väldigt upptagen hemma.	281269	I'm very busy back home.
372634	Visa mig ett annat exempel.	320313	Show me another example.
372635	Jag har tappat min plånbok.	1666	I have lost my wallet.
375845	Denna stol är ful.	51276	This chair is ugly.
375874	Varför?	36419	Why?
375881	Lycka till.	239431	Good luck.
376074	Vad gör du?	16492	What are you doing?
376078	Vad gjorde du?	376075	What were you doing?
397491	Tack!	374827	Thank you!
397491	Tack!	448645	Thanks!
397491	Tack!	1876041	Thank you.
397491	Tack!	2057650	Thanks.
401226	Löven ändrar färg på hösten.	266343	The leaves change color in autumn.
401227	Skolbarn är förkylda dubbelt så ofta som vuxna.	21560	School children have colds twice as often as adults.
401232	I medicinsk forskning är ett av de största problemen att ta reda på orsaken till sjukdomen.	27895	In medical research, one of the first problems is to isolate the cause of the disease.
401237	Han slipade en kniv.	292241	He was sharpening a knife.
401239	Låt mig fundera ett litet tag.	53401	Let me think for a while.
401250	Han blev en berömd sångare.	304449	He became a famous singer.
401255	Han söker desperat efter fler bevis.	293140	He is in desperate search of further evidence.
401256	De här blommorna blommar tidigare än vad andra gör.	60055	These flowers bloom earlier than others do.
401257	Den där slipsen passar bra till din skjorta.	50066	That tie goes well with your shirt.
401259	Jag ska av på nästa station.	264242	I'll get off at the next station.
401267	I morgon är det hennes födelsedag.	323314	Tomorrow is her birthday.
401268	I morgon fyller hon år.	323314	Tomorrow is her birthday.
401273	Hennes enda önskan var att träffa sin son igen.	309834	Her one wish was to see her son again.
401297	Det hängde en hatt och en kappa på väggen.	320260	There were a hat and a coat on the wall.
401313	Föraren vred ratten åt höger.	26593	The driver turned the wheel to the right.
401316	Nästa konsert kommer att hållas i juni.	497478	The next concert will take place in June.
401325	Vi talar å den australienska ungdomens vägnar.	247906	We are speaking on behalf of the young people of Australia.
401326	Vi är rädda.	248586	We are afraid.
401347	Vad betyder det?	43211	What does it mean?
